                  epoch,           train/box_om,           train/cls_om,           train/dfl_om,           train/box_oo,           train/cls_oo,           train/dfl_oo,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),             val/box_om,             val/cls_om,             val/dfl_om,             val/box_oo,             val/cls_oo,             val/dfl_oo,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     64,                 1.7006,                 1.1897,                 0.8683,                  1.829,                 1.3256,                 0.8705,                 0.8118,                0.56175,                0.64782,                 0.3297,                  1.918,                 1.5775,                0.91843,                 1.9793,                 1.6489,                0.91916,               0.006931,               0.006931,               0.006931
                     65,                 1.7597,                 1.2118,                0.87513,                 1.8937,                 1.3569,                0.87984,                0.79439,                 0.5907,                0.67586,                0.34892,                 1.9465,                 1.6422,                0.91851,                 1.9672,                 1.6989,                0.91851,              0.0068815,              0.0068815,              0.0068815
                     66,                 1.7837,                 1.2155,                0.87876,                 1.8959,                 1.3351,                0.87357,                0.85008,                0.56744,                0.66277,                  0.349,                 1.9116,                 1.8202,                0.91771,                 1.9254,                  1.837,                0.91041,               0.006832,               0.006832,               0.006832
                     67,                 1.7102,                 1.1509,                0.88046,                 1.8298,                 1.2717,                0.88358,                0.80642,                0.62005,                 0.6915,                0.35748,                 1.8993,                  1.759,                0.91133,                 1.9402,                 1.8172,                0.91249,              0.0067825,              0.0067825,              0.0067825
                     68,                 1.7057,                 1.1825,                0.86474,                  1.846,                 1.2992,                0.86837,                0.85201,                 0.5814,                0.67457,                0.36268,                 1.9064,                 1.7655,                0.91913,                 1.8864,                 1.8607,                0.92043,               0.006733,               0.006733,               0.006733
                     69,                 1.7507,                 1.1984,                0.87893,                 1.8876,                 1.3119,                0.87806,                0.85708,                0.55349,                0.67952,                0.35729,                 1.8924,                  1.571,                0.90846,                 1.9663,                 1.6262,                 0.9135,              0.0066835,              0.0066835,              0.0066835
                     70,                 1.7176,                 1.2317,                0.87558,                 1.8815,                  1.372,                  0.875,                0.81544,                0.59597,                0.67948,                0.36156,                 1.8607,                 1.5597,                0.91115,                  1.901,                 1.6381,                 0.9081,               0.006634,               0.006634,               0.006634
                     71,                 1.7162,                 1.1454,                0.87976,                 1.8542,                 1.2775,                0.88068,                0.80436,                0.55814,                0.65967,                0.36317,                 1.8482,                 1.7442,                0.90363,                 1.8427,                  1.774,                0.90289,              0.0065845,              0.0065845,              0.0065845
                     72,                 1.7117,                 1.1459,                0.86693,                 1.8773,                 1.2744,                0.86799,                0.93308,                 0.5188,                0.62947,                0.35634,                 1.8083,                 1.7505,                0.90421,                 1.8827,                  1.794,                0.90507,               0.006535,               0.006535,               0.006535
                     73,                  1.752,                 1.2207,                0.87644,                 1.8736,                 1.3241,                0.87491,                0.80158,                0.60128,                0.67388,                0.35975,                 1.7442,                 1.6291,                0.90189,                 1.8713,                 1.6564,                0.90872,              0.0064855,              0.0064855,              0.0064855
                     74,                 1.6849,                 1.1575,                 0.8638,                 1.8485,                 1.2913,                0.86928,                 0.7118,                0.65116,                0.67826,                0.33116,                 1.8568,                  1.831,                0.91049,                 1.9644,                 1.9837,                0.91749,               0.006436,               0.006436,               0.006436
                     75,                  1.716,                 1.1426,                0.86624,                 1.8635,                  1.251,                0.87148,                0.84432,                0.65581,                0.72435,                0.38095,                 1.7717,                 1.6165,                0.90375,                 1.9043,                 1.6177,                0.91118,              0.0063865,              0.0063865,              0.0063865
                     76,                  1.669,                 1.1328,                 0.8743,                 1.8348,                 1.2721,                0.87896,                0.86957,                0.65116,                0.72063,                0.39712,                 1.8655,                 1.5865,                 0.9099,                 1.8633,                 1.6104,                0.90426,               0.006337,               0.006337,               0.006337
                     77,                 1.6631,                 1.1055,                0.86728,                 1.7829,                 1.1941,                0.86793,                0.85475,                 0.5814,                0.67487,                0.36404,                 1.8458,                 1.6107,                0.91156,                 1.9156,                 1.6416,                0.91273,              0.0062875,              0.0062875,              0.0062875
                     78,                 1.6548,                 1.1146,                0.86674,                 1.8068,                 1.2457,                0.87137,                0.83644,                0.49952,                0.61988,                0.31034,                 1.9948,                 1.7474,                0.93085,                 2.0702,                 1.8421,                0.92177,               0.006238,               0.006238,               0.006238
                     79,                 1.7638,                 1.2021,                0.87431,                 1.8728,                 1.3304,                0.87212,                 0.8289,                0.59535,                0.67565,                0.35962,                 1.8839,                 1.6156,                0.91069,                 1.9685,                 1.6978,                0.91128,              0.0061885,              0.0061885,              0.0061885
                     80,                 1.6809,                 1.0861,                0.87206,                  1.805,                 1.1911,                0.87335,                0.88686,                0.53488,                0.67245,                0.36776,                 1.8705,                 1.6716,                0.91102,                 1.9878,                 1.7682,                0.91203,               0.006139,               0.006139,               0.006139
                     81,                 1.6871,                  1.134,                0.86903,                  1.826,                 1.2571,                0.86785,                0.88791,                0.51582,                0.65788,                0.36859,                 1.8236,                 1.5726,                 0.9056,                 1.8784,                 1.6085,                0.90424,              0.0060895,              0.0060895,              0.0060895
                     82,                 1.6783,                 1.1598,                0.86774,                 1.8222,                 1.2929,                0.86849,                0.87489,                0.58545,                0.69163,                0.38656,                 1.7953,                 1.4411,                0.90214,                 1.8228,                 1.5549,                0.90525,                0.00604,                0.00604,                0.00604
                     83,                 1.7185,                 1.1321,                0.86739,                 1.8627,                 1.2236,                0.87199,                0.76183,                 0.5907,                0.67148,                0.35838,                 1.8644,                 1.6456,                0.91071,                 1.8345,                 1.6771,                0.90072,              0.0059905,              0.0059905,              0.0059905
                     84,                 1.6889,                  1.115,                0.87516,                 1.7999,                 1.1881,                0.87374,                0.82711,                0.60465,                0.69845,                0.36936,                 1.9013,                 1.5236,                0.91002,                 1.9469,                 1.5177,                0.90518,               0.005941,               0.005941,               0.005941
