                  epoch,           train/box_om,           train/cls_om,           train/dfl_om,           train/box_oo,           train/cls_oo,           train/dfl_oo,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),             val/box_om,             val/cls_om,             val/dfl_om,             val/box_oo,             val/cls_oo,             val/dfl_oo,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     34,                  1.126,                0.62921,                0.95302,                 1.3173,                 0.6297,                0.95961,                0.98338,                0.93578,                0.94516,                0.61586,                 1.0404,                0.64853,                0.96853,                 1.2795,                0.67886,                0.98935,               0.008416,               0.008416,               0.008416
                     35,                 1.0687,                0.60899,                0.95237,                  1.254,                0.60352,                0.95681,                0.97793,                0.86239,                0.91424,                0.63544,                 1.0769,                0.66146,                0.96703,                 1.2096,                0.58633,                0.97974,              0.0083665,              0.0083665,              0.0083665
                     36,                 1.0992,                0.60519,                0.95748,                  1.287,                0.59952,                0.96236,                0.93477,                0.92025,                0.93979,                0.61983,                 1.0173,                0.56216,                0.96112,                 1.2381,                0.64758,                0.99596,               0.008317,               0.008317,               0.008317
                     37,                 1.0857,                 0.6308,                0.94948,                 1.3181,                0.64374,                0.96958,                0.97008,                 0.8924,                0.93958,                 0.6312,                 1.0048,                0.58496,                0.96316,                 1.2294,                0.67499,                 1.0071,              0.0082675,              0.0082675,              0.0082675
                     38,                 1.0637,                0.61019,                0.94117,                 1.2667,                0.60713,                0.95964,                0.93378,                0.88991,                0.92813,                0.65074,                 1.0127,                0.62887,                0.95545,                 1.2012,                0.67511,                0.99411,               0.008218,               0.008218,               0.008218
                     39,                 1.0915,                0.64457,                0.94935,                  1.282,                0.65314,                0.95799,                0.98686,                0.94495,                0.94516,                0.70819,                0.98155,                0.64137,                0.95174,                 1.0465,                 0.6024,                 0.9485,              0.0081685,              0.0081685,              0.0081685
                     40,                 1.0583,                0.60734,                0.95414,                 1.2817,                0.60083,                0.96791,                0.97026,                0.89806,                0.94152,                0.63381,                 1.0215,                0.55853,                0.95486,                 1.3181,                0.52247,                0.98447,               0.008119,               0.008119,               0.008119
                     41,                 1.0591,                0.58592,                 0.9449,                 1.2458,                0.57319,                0.95054,                0.94674,                0.88073,                0.93671,                0.67796,                0.95915,                0.54958,                0.93308,                 1.0443,                0.52827,                0.94416,              0.0080695,              0.0080695,              0.0080695
                     42,                 1.0802,                0.60137,                0.94618,                 1.2461,                0.58095,                0.95305,                 0.9898,                0.90826,                 0.9477,                0.65164,                0.99315,                0.66176,                0.95843,                  1.137,                0.45982,                0.97578,                0.00802,                0.00802,                0.00802
                     43,                 1.0909,                0.61414,                0.95227,                 1.2493,                0.58034,                 0.9605,                0.90474,                0.90826,                0.93337,                0.65231,                  1.133,                0.72365,                 0.9657,                 1.0914,                0.69227,                0.96536,              0.0079705,              0.0079705,              0.0079705
                     44,                 1.1198,                0.63837,                0.95228,                 1.2929,                0.62695,                0.96001,                0.97888,                0.83486,                0.93038,                0.66396,                0.97479,                0.60736,                0.95571,                  1.103,                0.53673,                0.97463,               0.007921,               0.007921,               0.007921
                     45,                 1.0912,                0.61983,                0.95611,                  1.274,                0.60171,                 0.9695,                0.97888,                0.92661,                0.94193,                0.65746,                 1.0665,                0.57608,                0.95582,                 1.1847,                0.46685,                0.95179,              0.0078715,              0.0078715,              0.0078715
                     46,                 1.0732,                0.61725,                0.94893,                 1.2404,                0.62969,                0.96254,                0.95116,                0.89908,                 0.9351,                0.65219,                 1.0106,                0.63222,                0.99883,                 1.1242,                0.55899,                0.99385,               0.007822,               0.007822,               0.007822
