                  epoch,           train/box_om,           train/cls_om,           train/dfl_om,           train/box_oo,           train/cls_oo,           train/dfl_oo,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),             val/box_om,             val/cls_om,             val/dfl_om,             val/box_oo,             val/cls_oo,             val/dfl_oo,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     69,                 1.0604,                0.52428,                0.89598,                 1.3078,                0.55967,                0.89579,                 0.8152,                0.73823,                0.78337,                0.50194,                 1.2225,                0.57659,                0.93137,                 1.4024,                0.58395,                0.93891,              7.789e-05,              7.789e-05,              7.789e-05
                     70,                 1.0645,                0.52481,                 0.8951,                 1.3164,                0.56055,                0.89524,                0.85695,                0.72761,                0.79551,                0.51378,                 1.1951,                0.56585,                0.92706,                 1.3737,                0.57221,                0.93149,              7.756e-05,              7.756e-05,              7.756e-05
                     71,                 1.0482,                 0.5162,                0.89267,                 1.3042,                0.55774,                0.89395,                0.85764,                 0.7732,                0.80538,                0.52193,                 1.2002,                0.56573,                0.92427,                  1.378,                0.56592,                0.93151,              7.723e-05,              7.723e-05,              7.723e-05
                     72,                 1.0562,                 0.5189,                0.89473,                 1.3043,                0.55524,                0.89469,                0.83267,                0.71168,                0.79926,                0.52597,                 1.2034,                0.56085,                0.92655,                 1.3736,                0.55501,                0.93177,               7.69e-05,               7.69e-05,               7.69e-05
                     73,                 1.0394,                0.51372,                 0.8915,                 1.2855,                0.54575,                0.89346,                0.90694,                0.73092,                0.79139,                 0.5099,                 1.2121,                0.57434,                 0.9274,                  1.398,                0.59157,                0.93776,              7.657e-05,              7.657e-05,              7.657e-05
                     74,                 1.0287,                0.50619,                0.89081,                 1.2808,                0.53717,                0.89417,                0.90676,                 0.7608,                0.80601,                0.52275,                 1.2017,                0.56969,                0.92558,                 1.3766,                0.57436,                0.93326,              7.624e-05,              7.624e-05,              7.624e-05
                     75,                 1.0378,                0.51394,                0.88903,                 1.2912,                0.55007,                0.88958,                0.80652,                0.75374,                 0.7908,                0.50629,                 1.2069,                0.55812,                0.92696,                 1.3853,                0.57497,                0.93446,              7.591e-05,              7.591e-05,              7.591e-05
                     76,                 1.0288,                0.50964,                0.89291,                 1.2827,                0.55152,                0.89438,                0.84236,                0.75152,                 0.7964,                0.51396,                 1.2144,                0.57073,                 0.9274,                 1.3924,                 0.5913,                0.93479,              7.558e-05,              7.558e-05,              7.558e-05
                     77,                 1.0301,                0.51153,                0.88863,                 1.2825,                0.54608,                 0.8872,                0.89927,                0.77613,                 0.8203,                 0.5349,                 1.1961,                0.55217,                0.92852,                 1.3634,                0.56217,                0.93265,              7.525e-05,              7.525e-05,              7.525e-05
                     78,                 1.0347,                0.50998,                0.89135,                 1.2791,                0.53733,                0.89346,                0.84361,                0.73198,                 0.7943,                0.51556,                 1.1969,                0.56284,                0.92573,                 1.3701,                0.57251,                0.93079,              7.492e-05,              7.492e-05,              7.492e-05
